Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
2.1, ,3,0.3448275862068966,0.4,0.5161290322580645, ,0.10344827586206896,0.6,0.9354838709677419, ,0.1724137931034483,0.625,0.9032258064516129, ,0.2413793103448276,0.4117647058823529,0.6774193548387096, ,0.1724137931034483,0.625,0.9032258064516129
2.1, ,4,0.5217391304347826,0.34285714285714286,0.3783783783783784, ,0.043478260869565216,0.5,0.972972972972973, ,0.2608695652173913,0.6,0.8918918918918919, ,0.34782608695652173,0.3076923076923077,0.5135135135135135, ,0.30434782608695654,0.7,0.918918918918919
2.1, ,5,0.3333333333333333,0.8,0.875, ,0.1111111111111111,1.0,1.0, ,0.25,0.9,0.9583333333333334, ,0.1111111111111111,1.0,1.0, ,0.25,1.0,1.0
Average:            , , ,0.3946808646958572,0.5228006775832863,0.6107642272253277, ,0.06485539281641231,0.5866666666666667,0.9615933295724567, ,0.19520368021117646,0.6642857142857143,0.9080431475118381, ,0.19519150681069722,0.49652298166230047,0.730833632493974, ,0.21928394776970492,0.6900000000000001,0.9041348274270475
Standard Deviation: , , ,0.06712307017107605,0.1702603139375668,0.1648951197524894, ,0.03509236085437014,0.22370615647416692,0.023296987582710524, ,0.05042980225846176,0.11950151565941732,0.027995971914352755, ,0.09489015602514131,0.264877877593286,0.18091427815132569, ,0.058260497552723146,0.16777961735562516,0.057888855915657005
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.2, ,1,0.5,0.5,0.6666666666666666, ,0.041666666666666664,0.3333333333333333,0.9444444444444444, ,0.25,0.75,0.9444444444444444, ,0.25,0.375,0.7222222222222222, ,0.20833333333333334,0.7142857142857143,0.9444444444444444
2.2, ,2,0.3,0.34615384615384615,0.43333333333333335, ,0.06666666666666667,0.4,0.9, ,0.23333333333333334,0.5833333333333334,0.8333333333333334, ,0.06666666666666667,0.3333333333333333,0.8666666666666667, ,0.2,0.5,0.8
2.2, ,3,0.4230769230769231,0.4583333333333333,0.6176470588235294, ,0.07692307692307693,0.6666666666666666,0.9705882352941176, ,0.2692307692307692,0.6363636363636364,0.8823529411764706, ,0.19230769230769232,0.21739130434782608,0.47058823529411764, ,0.2692307692307692,0.5384615384615384,0.8235294117647058
2.2, ,4,0.25806451612903225,0.38095238095238093,0.5517241379310345, ,0.06451612903225806,1.0,1.0, ,0.22580645161290322,1.0,1.0, ,0.06451612903225806,0.6666666666666666,0.9655172413793104, ,0.22580645161290322,0.875,0.9655172413793104
2.2, ,5,0.3076923076923077,0.6666666666666666,0.7142857142857143, ,0.05128205128205128,1.0,1.0, ,0.1794871794871795,0.7777777777777778,0.9047619047619048, ,0.05128205128205128,0.6666666666666666,0.9523809523809523, ,0.1282051282051282,0.625,0.8571428571428571
Average:            , , ,0.35776674937965264,0.4704212454212454,0.5967313822080558, ,0.06021091811414392,0.6799999999999999,0.9630065359477126, ,0.23157154673283706,0.7494949494949494,0.9129785247432306, ,0.12495450785773365,0.4518115942028985,0.7954750635886538, ,0.2063151364764268,0.6505494505494506,0.8781267909462634
Standard Deviation: , , ,0.08975600116955991,0.11223221456506985,0.09784886810208072, ,0.012354122446619608,0.2840970100355002,0.037706470912195256, ,0.0300231459181641,0.14419523603537113,0.05641212101303948, ,0.08080931565644434,0.182874490252318,0.1841301031780772, ,0.045789552673159366,0.13440384814733536,0.06566599842737075
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.3, ,1,0.4074074074074074,0.4782608695652174,0.6363636363636364, ,0.14814814814814814,1.0,1.0, ,0.2222222222222222,0.8571428571428571,0.9696969696969697, ,0.37037037037037035,0.47619047619047616,0.6666666666666666, ,0.3333333333333333,0.42857142857142855,0.6363636363636364
2.3, ,2,0.5666666666666667,0.6071428571428571,0.6333333333333333, ,0.03333333333333333,0.3333333333333333,0.9333333333333333, ,0.03333333333333333,0.25,0.9, ,0.16666666666666666,0.7142857142857143,0.9333333333333333, ,0.13333333333333333,0.5714285714285714,0.9
2.3, ,3,0.36363636363636365,0.5217391304347826,0.5925925925925926, ,0.12121212121212122,0.8,0.9629629629629629, ,0.30303030303030304,0.8333333333333334,0.9259259259259259, ,0.06060606060606061,0.4,0.8888888888888888, ,0.30303030303030304,0.7692307692307693,0.8888888888888888
