Protein,Sensitivity,Specificity
HpCD00780723,0.5,0.9933333333333333

HpCD00780612,0.5,0.9966666666666667

HpCD00780620,0.5,1.0

HpCD00780628,0.5,1.0

HpCD00780708,0.5,0.9933333333333333

HpCD00780716,0.5,1.0

HpCD00780724,0.5,0.9966666666666667

HpCD00780613,0.5,1.0

HpCD00780621,0.5033333333333333,0.9933333333333333

HpCD00780629,0.5066666666666667,0.9933333333333333

HpCD00780709,0.5066666666666667,1.0

HpCD00780717,0.5,1.0

HpCD00780725,0.5,1.0

HpCD00780614,0.5,1.0

HpCD00780622,0.5,0.9966666666666667

HpCD00780630,0.5,1.0

HpCD00780710,0.5,1.0

HpCD00780718,0.5,0.9966666666666667

HpCD00780726,0.5,1.0

HpCD00780631,0.5,1.0

HpCD00780639,0.5,1.0

HpCD00780647,0.5,1.0

HpCD00780727,0.5,1.0

HpCD00780735,0.5,1.0

HpCD00780743,0.5,1.0

HpCD00780632,0.5,1.0

HpCD00780640,0.5,1.0

HpCD00780648,0.5033333333333333,1.0

HpCD00780728,0.5,1.0

HpCD00780736,0.5,1.0

HpCD00780744,0.5,1.0

HpCD00780633,0.5,1.0

HpCD00780641,0.5,0.9966666666666667

HpCD00780649,0.5,1.0

HpCD00780729,0.5,1.0

HpCD00780737,0.5,1.0

HpCD00780745,0.5,1.0

HpCD00780634,0.5033333333333333,0.9966666666666667

HpCD00780642,0.5,0.9966666666666667

HpCD00780650,0.5,1.0

HpCD00780730,0.5,0.9966666666666667

HpCD00780738,0.5033333333333333,0.9966666666666667

HpCD00780746,0.5033333333333333,0.9966666666666667

HpCD00780635,0.5,1.0

HpCD00780643,0.5,1.0

HpCD00780651,0.5,1.0

HpCD00780731,0.5033333333333333,0.9966666666666667

HpCD00780739,0.5,1.0

HpCD00780747,0.5,1.0

HpCD00780636,0.5,1.0

HpCD00780644,0.5,1.0

HpCD00780652,0.5,1.0

HpCD00780732,0.5066666666666667,1.0

HpCD00780740,0.5,1.0

HpCD00780748,0.5033333333333333,0.9966666666666667

HpCD00780637,0.5,1.0

HpCD00780645,0.5033333333333333,1.0

HpCD00780653,0.5,1.0

HpCD00780733,0.5066666666666667,1.0

HpCD00780741,0.5033333333333333,1.0

HpCD00780749,0.5,1.0

HpCD00780638,0.5033333333333333,0.9933333333333333

HpCD00780646,0.5,0.9966666666666667

HpCD00780654,0.5066666666666667,1.0

HpCD00780734,0.5,1.0

HpCD00780742,0.5,1.0

HpCD00780750,0.5,1.0

HpCD00780655,0.5,1.0

HpCD00780663,0.5,1.0

HpCD00780671,0.5,1.0

HpCD00780751,0.5,1.0

HpCD00780759,0.5,1.0

HpCD00780767,0.5,1.0

HpCD00780656,0.5,1.0

HpCD00780664,0.5,1.0

HpCD00780672,0.5,1.0

HpCD00780752,0.5,0.9966666666666667

HpCD00780760,0.5033333333333333,0.9966666666666667

HpCD00780768,0.5,0.9966666666666667

HpCD00780657,0.5,0.9966666666666667

HpCD00780665,0.5166666666666667,0.9766666666666667

HpCD00780673,0.5,0.9966666666666667

HpCD00780753,0.5,0.9933333333333333

HpCD00780761,0.5,1.0

HpCD00780769,0.5,0.9966666666666667

HpCD00780658,0.5033333333333333,0.9933333333333333

HpCD00780666,0.5,0.9966666666666667

HpCD00780674,0.5033333333333333,0.99

HpCD00780754,0.5066666666666667,0.9866666666666667

HpCD00780762,0.5,0.9966666666666667

HpCD00780770,0.5,0.9966666666666667

HpCD00780659,0.5033333333333333,1.0

HpCD00780667,0.5,1.0

HpCD00780675,0.5,1.0

HpCD00780755,0.5033333333333333,0.9966666666666667

HpCD00780763,0.5,1.0

HpCD00780771,0.51,1.0

HpCD00780660,0.5033333333333333,0.99

HpCD00780668,0.5033333333333333,1.0

HpCD00780676,0.5033333333333333,1.0

HpCD00780756,0.5,0.9966666666666667

HpCD00780764,0.5066666666666667,0.9766666666666667

HpCD00780772,0.5,0.9866666666666667

HpCD00780661,0.5033333333333333,1.0

HpCD00780669,0.5,1.0

HpCD00780677,0.5033333333333333,0.9966666666666667

HpCD00780757,0.5,1.0

HpCD00780765,0.5,1.0

HpCD00780773,0.5033333333333333,1.0

HpCD00780662,0.5033333333333333,1.0

HpCD00780670,0.5033333333333333,1.0

HpCD00780678,0.5033333333333333,1.0

HpCD00780758,0.5,0.9966666666666667

HpCD00780766,0.5,0.9966666666666667

HpCD00780774,0.5,1.0

HpCD00780679,0.5,1.0

HpCD00780687,0.5,1.0

HpCD00780695,0.5,1.0

HpCD00780775,0.5033333333333333,0.9966666666666667

HpCD00780783,0.5,1.0

HpCD00780791,0.5,1.0

HpCD00780680,0.5,1.0

HpCD00780688,0.5,1.0

HpCD00780696,0.5,1.0

HpCD00780776,0.5,1.0

HpCD00780784,0.5,1.0

HpCD00780792,0.5066666666666667,0.9866666666666667

HpCD00780681,0.5,0.9966666666666667

HpCD00780689,0.5,1.0

HpCD00780697,0.5,1.0

HpCD00780777,0.5,1.0

HpCD00780785,0.5,1.0

HpCD00780793,0.5,1.0

HpCD00780682,0.5,0.9966666666666667

HpCD00780690,0.5,1.0

HpCD00780698,0.5,0.9966666666666667

HpCD00780778,0.5,0.9966666666666667

HpCD00780786,0.5033333333333333,1.0

HpCD00780794,0.5,0.9966666666666667

HpCD00780683,0.5,1.0

HpCD00780691,0.5,1.0

HpCD00780699,0.5,1.0

HpCD00780779,0.5,0.99

HpCD00780787,0.5,1.0

HpCD00780795,0.5,1.0

HpCD00780684,0.5033333333333333,1.0

HpCD00780692,0.5,1.0

HpCD00780700,0.5066666666666667,1.0

HpCD00780780,0.5066666666666667,1.0

HpCD00780788,0.5,1.0

HpCD00780796,0.5,1.0

HpCD00780685,0.5033333333333333,1.0

HpCD00780693,0.5,1.0

HpCD00780701,0.5,0.9966666666666667

HpCD00780781,0.5,1.0

HpCD00780789,0.5,1.0

HpCD00780797,0.5,1.0

HpCD00780686,0.5,1.0

HpCD00780694,0.5,1.0

HpCD00780702,0.5,1.0

HpCD00780782,0.5,1.0

HpCD00780790,0.5,0.99

HpCD00780798,0.5,0.9933333333333333

HpCD00780799,0.5,1.0

HpCD00780807,0.5,0.9966666666666667

HpCD00780815,0.5,1.0

HpCD00780895,0.5,1.0

HpCD00780903,0.5,1.0

HpCD00780911,0.5,1.0

HpCD00780800,0.5,1.0

HpCD00780808,0.5,1.0

HpCD00780816,0.5,1.0

HpCD00780896,0.5033333333333333,0.9966666666666667

HpCD00780904,0.5,1.0

HpCD00780912,0.5,1.0

HpCD00780801,0.5,0.9966666666666667

HpCD00780809,0.5,1.0

HpCD00780817,0.5,1.0

HpCD00780897,0.5,0.9966666666666667

HpCD00780905,0.5,1.0

HpCD00780913,0.5033333333333333,0.9966666666666667

HpCD00780802,0.5033333333333333,0.99

HpCD00780810,0.5,0.9966666666666667

HpCD00780818,0.5,0.9966666666666667

HpCD00780898,0.5,1.0

HpCD00780906,0.5033333333333333,1.0

HpCD00780914,0.5033333333333333,0.9933333333333333

HpCD00780803,0.5,1.0

HpCD00780811,0.5,1.0

HpCD00780819,0.5,0.9966666666666667

HpCD00780899,0.5,1.0

HpCD00780907,0.5,1.0

HpCD00780915,0.5033333333333333,1.0

HpCD00780804,0.5,1.0

HpCD00780812,0.5033333333333333,1.0

HpCD00780820,0.5033333333333333,0.9933333333333333

HpCD00780900,0.5,0.9966666666666667

